snapshot,backstop
2023-01-01,0.0
2023-01-08,6758.896149213141
2023-01-15,0.0
2023-01-22,29172.72870457667
2023-01-29,7051.698949578579
2023-02-05,221.73511669746694
2023-02-12,967.8795539163075
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,3958.024993582099
2023-03-19,0.0
2023-03-26,1903.5012332673618
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,764.2453423499845
2023-11-05,0.0
2023-11-12,35993.30762265763
2023-11-19,25616.319340257643
2023-11-26,1354.9243573413064
2023-12-03,34602.34338155668
2023-12-10,48341.00952852471
2023-12-17,21332.704141522678
2023-12-24,0.0
2023-12-31,0.0
