snapshot,biogas_market
2023-01-01,12000.0
2023-01-08,82500.0
2023-01-15,84000.0
2023-01-22,80062.81925255033
2023-01-29,69462.03425951516
2023-02-05,55400.22586938814
2023-02-12,40676.13573367195
2023-02-19,55500.0
2023-02-26,34302.20455160071
2023-03-05,0.0
2023-03-12,23723.63967372115
2023-03-19,41391.556663064744
2023-03-26,39387.281079863584
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,23302.923549965482
2023-10-15,1297.357077032287
2023-10-22,27000.0
2023-10-29,84000.0
2023-11-05,81000.0
2023-11-12,79500.0
2023-11-19,81000.0
2023-11-26,74247.06990877456
2023-12-03,84000.0
2023-12-10,84000.0
2023-12-17,84000.0
2023-12-24,81000.0
2023-12-31,81000.0
